pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381904731,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.2.xml,5166824,tct 2018-07-13,20651,tct_rci,304379,complete,10.777633958,2.74478888512,7.450624E7,"WORST_CASE(Omega(n^1),O(n^2))",16309
381904741,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.36.xml,5166825,AProVE,20177,complexity,302122,complete,1041.87402951,292.901132107,1.595041792E10,"WORST_CASE(Omega(n^1), ?)",3348
381904750,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.36.xml,5166825,tct 2018-07-13,20651,tct_rci,304379,complete,643.205612984,164.799998999,2.696011776E9,"WORST_CASE(Omega(n^1),?)",1630
381904759,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.48.xml,5166826,AProVE,20177,complexity,302122,complete,320.566327155,291.444670916,6.166339584E9,"WORST_CASE(Omega(n^1), O(n^2))",11443
381904767,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.48.xml,5166826,tct 2018-07-13,20651,tct_rci,304379,complete,1.902787071,0.730385065079,4.6075904E7,"WORST_CASE(Omega(n^1),O(n^2))",20584
381904775,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.16.xml,5166827,AProVE,20177,complexity,302122,complete,317.548307531,291.694826126,5.46054144E9,"WORST_CASE(Omega(n^2), O(n^3))",19059
381904783,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.16.xml,5166827,tct 2018-07-13,20651,tct_rci,304379,complete,48.078959603,8.75653100014,4.12913664E8,"WORST_CASE(Omega(n^1),O(n^3))",37901
381904791,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.1.xml,5166828,AProVE,20177,complexity,302122,complete,14.976377635,4.56125688553,3.747790848E9,"WORST_CASE(Omega(n^1), O(n^1))",11541
381904799,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.1.xml,5166828,tct 2018-07-13,20651,tct_rci,304379,complete,1.458117708,0.381678104401,4.196352E7,"WORST_CASE(Omega(n^1),O(n^1))",2738
381904807,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.6a.xml,5166829,AProVE,20177,complexity,302122,complete,21.739431189,9.03785181046,4.189323264E9,"WORST_CASE(Omega(n^1), O(n^1))",32629
